Fecha/Hora;Econsumida
21-08-2023 14:00;33,46
21-08-2023 15:00;32,4
21-08-2023 16:00;29,57
21-08-2023 17:00;27,47
21-08-2023 18:00;29,43
21-08-2023 19:00;34,5
21-08-2023 20:00;34,44
21-08-2023 21:00;32,09
21-08-2023 22:00;31,79
21-08-2023 23:00;31,03
22-08-2023 0:00;24,43
22-08-2023 1:00;25,08
22-08-2023 2:00;23,92
22-08-2023 3:00;23,71
22-08-2023 4:00;23,99
22-08-2023 5:00;23,58
22-08-2023 6:00;23,89
22-08-2023 7:00;25,27
22-08-2023 8:00;28,88
22-08-2023 9:00;27,45
22-08-2023 10:00;26,4
22-08-2023 11:00;27,18
22-08-2023 12:00;31,13
22-08-2023 13:00;32,69
22-08-2023 14:00;29,46
22-08-2023 15:00;29,86
22-08-2023 16:00;27,84
22-08-2023 17:00;27,62
22-08-2023 18:00;32,08
22-08-2023 19:00;35,04
22-08-2023 20:00;36,37
22-08-2023 21:00;35,16
22-08-2023 22:00;32,98
22-08-2023 23:00;31,75
23-08-2023 0:00;27,7
23-08-2023 1:00;24,8
23-08-2023 2:00;23,71
23-08-2023 3:00;23,62
23-08-2023 4:00;23,77
23-08-2023 5:00;24,51
23-08-2023 6:00;26,03
23-08-2023 7:00;24,84
23-08-2023 8:00;30,08
23-08-2023 9:00;28,19
23-08-2023 10:00;30,41
23-08-2023 11:00;15,55
23-08-2023 12:00;0
23-08-2023 13:00;23,18
23-08-2023 14:00;23,57
23-08-2023 15:00;30,81
23-08-2023 16:00;29,9
23-08-2023 17:00;26,54
23-08-2023 18:00;30,74
23-08-2023 19:00;32,84
23-08-2023 20:00;32,71
23-08-2023 21:00;30,94
23-08-2023 22:00;30,5
23-08-2023 23:00;28,44
24-08-2023 0:00;25,05
24-08-2023 1:00;23,68
24-08-2023 2:00;23,02
24-08-2023 3:00;21,92
24-08-2023 4:00;21,42
24-08-2023 5:00;22,81
24-08-2023 6:00;24,7
24-08-2023 7:00;24,12
24-08-2023 8:00;29,3
24-08-2023 9:00;30,16
24-08-2023 10:00;28,82
24-08-2023 11:00;27,84
24-08-2023 12:00;30,53
24-08-2023 13:00;26,84
24-08-2023 14:00;26,33
24-08-2023 15:00;29,54
24-08-2023 16:00;29,48
24-08-2023 17:00;30,79
24-08-2023 18:00;31,09
24-08-2023 19:00;34,3
24-08-2023 20:00;36
24-08-2023 21:00;35,9
24-08-2023 22:00;34,57
24-08-2023 23:00;34,46
25-08-2023 0:00;26,56
25-08-2023 1:00;24,36
25-08-2023 2:00;23,63
25-08-2023 3:00;22,45
25-08-2023 4:00;23,09
25-08-2023 5:00;24,7
25-08-2023 6:00;24,84
25-08-2023 7:00;25,57
25-08-2023 8:00;28,95
25-08-2023 9:00;29,21
25-08-2023 10:00;32,07
25-08-2023 11:00;30,93
25-08-2023 12:00;33,18
25-08-2023 13:00;35,13
25-08-2023 14:00;32,7
25-08-2023 15:00;30,32
25-08-2023 16:00;30,43
25-08-2023 17:00;30,22
25-08-2023 18:00;33,91
25-08-2023 19:00;38,16
25-08-2023 20:00;36,03
25-08-2023 21:00;34,23
25-08-2023 22:00;33,93
25-08-2023 23:00;32,32
26-08-2023 0:00;29,1
26-08-2023 1:00;25,49
26-08-2023 2:00;24,4
26-08-2023 3:00;24,58
26-08-2023 4:00;24,61
26-08-2023 5:00;22,4
26-08-2023 6:00;23,91
26-08-2023 7:00;22,01
26-08-2023 8:00;26,98
26-08-2023 9:00;26,32
26-08-2023 10:00;25,77
26-08-2023 11:00;25,56
26-08-2023 12:00;26,1
26-08-2023 13:00;27,14
26-08-2023 14:00;26,73
26-08-2023 15:00;25,71
26-08-2023 16:00;25,11
26-08-2023 17:00;28,3
26-08-2023 18:00;30,64
26-08-2023 19:00;35,79
26-08-2023 20:00;33,5
26-08-2023 21:00;31,08
26-08-2023 22:00;28,47
26-08-2023 23:00;27,93
27-08-2023 0:00;25,29
27-08-2023 1:00;22,55
27-08-2023 2:00;22,44
27-08-2023 3:00;21,72
27-08-2023 4:00;23,33
27-08-2023 5:00;21,8
27-08-2023 6:00;21,11
27-08-2023 7:00;22,39
27-08-2023 8:00;24,8
27-08-2023 9:00;26,86
27-08-2023 10:00;29,03
27-08-2023 11:00;26,81
27-08-2023 12:00;28,63
27-08-2023 13:00;29,11
27-08-2023 14:00;29,29
27-08-2023 15:00;29,95
27-08-2023 16:00;29,72
27-08-2023 17:00;27,88
27-08-2023 18:00;32,04
27-08-2023 19:00;35,67
27-08-2023 20:00;34,83
27-08-2023 21:00;36,51
27-08-2023 22:00;33,44
27-08-2023 23:00;30,39
28-08-2023 0:00;26,22
28-08-2023 1:00;24,56
28-08-2023 2:00;22,66
28-08-2023 3:00;22,43
28-08-2023 4:00;22,64
28-08-2023 5:00;22,27
28-08-2023 6:00;24,32
28-08-2023 7:00;27,07
28-08-2023 8:00;30,58
28-08-2023 9:00;29,15
28-08-2023 10:00;30,63
28-08-2023 11:00;31,73
28-08-2023 12:00;31,35
28-08-2023 13:00;32,59
28-08-2023 14:00;34,68
28-08-2023 15:00;31,32
28-08-2023 16:00;31,6
28-08-2023 17:00;29,39
28-08-2023 18:00;34,16
28-08-2023 19:00;37,38
28-08-2023 20:00;38,33
28-08-2023 21:00;36,86
28-08-2023 22:00;34,14
28-08-2023 23:00;31,9
29-08-2023 0:00;27,19
29-08-2023 1:00;23,79
29-08-2023 2:00;25,18
29-08-2023 3:00;24,37
29-08-2023 4:00;23,1
29-08-2023 5:00;22,27
29-08-2023 6:00;22,94
29-08-2023 7:00;26,3
29-08-2023 8:00;29,98
29-08-2023 9:00;29,21
29-08-2023 10:00;33,98
29-08-2023 11:00;34,24
29-08-2023 12:00;34,92
29-08-2023 13:00;32,9
29-08-2023 14:00;32,97
29-08-2023 15:00;32,2
29-08-2023 16:00;32,05
29-08-2023 17:00;28,43
29-08-2023 18:00;32,63
29-08-2023 19:00;38,17
29-08-2023 20:00;37,95
29-08-2023 21:00;37,54
29-08-2023 22:00;35,95
29-08-2023 23:00;32,6
30-08-2023 0:00;27,69
30-08-2023 1:00;24,85
30-08-2023 2:00;24,72
30-08-2023 3:00;25,69
30-08-2023 4:00;25,33
